,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
72,"Bonhoeffer: Pastor, Martyr, Prophet, Spy ",Eric Metaxas,biography,2009,4.22,46723,https://images.gr-assets.com/books/1298218180s/7501962.jpg
73,The Autobiography of Benjamin Franklin ,Benjamin Franklin,biography,1791,3.82,56398,https://images.gr-assets.com/books/1428170518s/52309.jpg
74,The Rise of Theodore Roosevelt ,Edmund Morris,biography,1979,4.24,33911,https://images.gr-assets.com/books/1452010007s/40929.jpg
75,I Know Why the Caged Bird Sings ,Maya Angelou,biography,1969,4.22,337964,https://images.gr-assets.com/books/1327957927s/13214.jpg
76,Washington: A Life ,Ron Chernow,biography,2010,4.07,41723,https://images.gr-assets.com/books/1348969179s/8255917.jpg
77,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,biography,2012,3.99,510584,https://images.gr-assets.com/books/1453189881s/12262741.jpg
78,When Breath Becomes Air ,Paul Kalanithi,biography,2016,4.34,287468,https://images.gr-assets.com/books/1492677644s/25899336.jpg
79,The Hiding Place: The Triumphant True Story of Corrie Ten Boom ,Corrie ten Boom,biography,1971,4.41,219466,https://images.gr-assets.com/books/1320418824s/561909.jpg
80,Leonardo da Vinci ,Walter Isaacson,biography,2017,4.2,23039,https://images.gr-assets.com/books/1523543570s/34684622.jpg
81,Dreams from My Father: A Story of Race and Inheritance ,Barack Obama,biography,1995,3.85,161192,https://images.gr-assets.com/books/1352340675s/88061.jpg
82,The Wright Brothers ,David McCullough,biography,2015,4.14,58370,https://images.gr-assets.com/books/1430942575s/22609391.jpg
83,Long Walk to Freedom ,Nelson Mandela,biography,1994,4.33,57644,https://images.gr-assets.com/books/1327997342s/318431.jpg
84,"Eat, Pray, Love ",Elizabeth Gilbert,biography,2006,3.53,1325172,https://images.gr-assets.com/books/1503066414s/19501.jpg
85,Is Everyone Hanging Out Without Me? ,Mindy Kaling,biography,2011,3.85,367139,https://images.gr-assets.com/books/1443264638s/10335308.jpg
86,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis ,J.D. Vance,biography,2016,3.94,215670,https://images.gr-assets.com/books/1463569814s/27161156.jpg
87,Tuesdays with Morrie ,Mitch Albom,biography,1997,4.09,675192,https://images.gr-assets.com/books/1423763749s/6900.jpg
88,Becoming ,Michelle Obama,biography,2018,4.68,104765,https://images.gr-assets.com/books/1528206996s/38746485.jpg
89,Narrative of the Life of Frederick Douglass ,Frederick Douglass,biography,1845,3.99,78918,https://images.gr-assets.com/books/1388234247s/36529.jpg
90,Educated ,Tara Westover,biography,2018,4.49,188801,https://images.gr-assets.com/books/1506026635s/35133922.jpg
91,Theodore Rex ,Edmund Morris,biography,2001,4.18,36271,https://images.gr-assets.com/books/1388177930s/40923.jpg
92,Just Kids ,Patti Smith,biography,2010,4.13,146032,https://images.gr-assets.com/books/1259762407s/341879.jpg
93,A Beautiful Mind ,Sylvia Nasar,biography,1998,4.12,113026,https://images.gr-assets.com/books/1347807703s/13912.jpg
94,Born Standing Up: A Comic's Life ,Steve Martin,biography,2007,3.87,73465,https://images.gr-assets.com/books/1348034328s/773858.jpg
95,Notorious RBG: The Life and Times of Ruth Bader Ginsburg ,Irin Carmon,biography,2015,4.23,29905,https://images.gr-assets.com/books/1429924065s/25422234.jpg
96,"Titan: The Life of John D. Rockefeller, Sr. ",Ron Chernow,biography,1997,4.2,13248,https://images.gr-assets.com/books/1386925052s/16121.jpg
