,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
777,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,fiction,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
778,The Book Thief ,Markus Zusak,fiction,2005,4.37,1533748,https://images.gr-assets.com/books/1522157426s/19063.jpg
779,Of Mice and Men ,John Steinbeck,fiction,1937,3.86,1696798,https://images.gr-assets.com/books/1511302904s/890.jpg
780,Gone Girl ,Gillian Flynn,fiction,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
781,Slaughterhouse-Five ,Kurt Vonnegut,fiction,1969,4.07,996990,https://images.gr-assets.com/books/1440319389s/4981.jpg
782,Angels & Demons  ,Dan Brown,fiction,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
783,Jane Eyre ,Charlotte Brontë,fiction,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
784,The Time Traveler's Wife ,Audrey Niffenegger,fiction,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
785,The Lovely Bones ,Alice Sebold,fiction,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
786,The Fault in Our Stars ,John Green,fiction,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
787,Water for Elephants ,Sara Gruen,fiction,2006,4.08,1227132,https://images.gr-assets.com/books/1494428973s/43641.jpg
788,Memoirs of a Geisha ,Arthur Golden,fiction,1997,4.1,1549262,https://images.gr-assets.com/books/1409595968s/929.jpg
789,The Road ,Cormac McCarthy,fiction,2006,3.96,626525,https://images.gr-assets.com/books/1439197219s/6288.jpg
790,A Game of Thrones ,George R.R. Martin,fiction,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
791,The Girl on the Train ,Paula Hawkins,fiction,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
792,Catch-22 ,Joseph Heller,fiction,1961,3.98,649772,https://images.gr-assets.com/books/1463157317s/168668.jpg
793,The Hitchhiker's Guide to the Galaxy ,Douglas Adams,fiction,1979,4.22,1194165,https://images.gr-assets.com/books/1388282444s/386162.jpg
794,The Adventures of Huckleberry Finn ,Mark Twain,fiction,1884,3.81,1070151,https://images.gr-assets.com/books/1546096879s/2956.jpg
795,The Fellowship of the Ring ,J.R.R. Tolkien,fiction,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
796,Frankenstein ,Mary Wollstonecraft Shelley,fiction,1818,3.78,999454,https://images.gr-assets.com/books/1498841231s/35031085.jpg
797,One Hundred Years of Solitude ,Gabriel García Márquez,fiction,1967,4.06,646388,https://images.gr-assets.com/books/1327881361s/320.jpg
798,The Picture of Dorian Gray ,Oscar Wilde,fiction,1890,4.07,799093,https://images.gr-assets.com/books/1546103428s/5297.jpg
799,The Giver ,Lois Lowry,fiction,1993,4.12,1496907,https://images.gr-assets.com/books/1342493368s/3636.jpg
800,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fantasy,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
801,The Hobbit or There and Back Again ,J.R.R. Tolkien,fantasy,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
802,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fantasy,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
803,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fantasy,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
804,Harry Potter and the Goblet of Fire ,J.K. Rowling,fantasy,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
805,Harry Potter and the Deathly Hallows ,J.K. Rowling,fantasy,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
806,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fantasy,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
807,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fantasy,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
808,A Game of Thrones ,George R.R. Martin,fantasy,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
809,The Fellowship of the Ring ,J.R.R. Tolkien,fantasy,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
810,A Clash of Kings  ,George R.R. Martin,fantasy,1998,4.41,687212,https://images.gr-assets.com/books/1358254974s/10572.jpg
811,The Two Towers ,J.R.R. Tolkien,fantasy,1954,4.43,602757,https://images.gr-assets.com/books/1298415523s/15241.jpg
812,The Name of the Wind ,Patrick Rothfuss,fantasy,2007,4.55,573418,https://images.gr-assets.com/books/1515589515s/186074.jpg
813,The Return of the King ,J.R.R. Tolkien,fantasy,1955,4.52,576459,https://images.gr-assets.com/books/1520258755s/18512.jpg
814,A Storm of Swords ,George R.R. Martin,fantasy,2000,4.54,588700,https://images.gr-assets.com/books/1497931121s/62291.jpg
815,A Feast for Crows ,George R.R. Martin,fantasy,2005,4.12,544456,https://images.gr-assets.com/books/1429538615s/13497.jpg
816,"The Lion, the Witch and the Wardrobe ",C.S. Lewis,fantasy,1950,4.21,1846497,https://images.gr-assets.com/books/1353029077s/100915.jpg
817,Eragon ,Christopher Paolini,fantasy,2002,3.88,1266203,https://images.gr-assets.com/books/1366212852s/113436.jpg
818,The Golden Compass ,Philip Pullman,fantasy,1995,3.96,1115417,https://images.gr-assets.com/books/1505766203s/119322.jpg
819,A Dance with Dragons ,George R.R. Martin,fantasy,2011,4.32,484386,https://images.gr-assets.com/books/1327885335s/10664113.jpg
820,American Gods ,Neil Gaiman,fantasy,2001,4.11,640347,https://images.gr-assets.com/books/1462924585s/30165203.jpg
821,The Lightning Thief ,Rick Riordan,fantasy,2005,4.24,1663927,https://images.gr-assets.com/books/1400602609s/28187.jpg
822,The Final Empire ,Brandon Sanderson,fantasy,2006,4.44,302938,https://images.gr-assets.com/books/1480717416s/68428.jpg
823,Twilight ,Stephenie Meyer,fantasy,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
824,City of Bones ,Cassandra Clare,fantasy,2007,4.11,1411260,https://images.gr-assets.com/books/1432730315s/256683.jpg
825,The Lord of the Rings ,J.R.R. Tolkien,fantasy,1955,4.49,490460,https://images.gr-assets.com/books/1547450792s/33.jpg
826,Neverwhere ,Neil Gaiman,fantasy,1996,4.18,362656,https://images.gr-assets.com/books/1348747943s/14497.jpg
827,The Eye of the World ,Robert Jordan,fantasy,1990,4.19,320497,https://images.gr-assets.com/books/1337818095s/228665.jpg
828,The Wise Man's Fear ,Patrick Rothfuss,fantasy,2011,4.58,347228,https://images.gr-assets.com/books/1452624392s/1215032.jpg
829,Throne of Glass ,Sarah J. Maas,fantasy,2012,4.22,450961,https://images.gr-assets.com/books/1495278054s/7896527.jpg
830,The Night Circus ,Erin Morgenstern,fantasy,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
831,Graceling ,Kristin Cashore,fantasy,2008,4.09,338822,https://images.gr-assets.com/books/1331548394s/3236307.jpg
832,The Ocean at the End of the Lane ,Neil Gaiman,fantasy,2013,3.99,403969,https://images.gr-assets.com/books/1497098563s/15783514.jpg
833,The Princess Bride ,William Goldman,fantasy,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
834,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch ",Terry Pratchett,fantasy,1990,4.25,394505,https://images.gr-assets.com/books/1392528568s/12067.jpg
835,The Color of Magic ,Terry Pratchett,fantasy,1983,3.99,266996,https://images.gr-assets.com/books/1407111017s/34497.jpg
836,Harry Potter and the Cursed Child: Parts One and Two ,John Tiffany,fantasy,2016,3.68,540452,https://images.gr-assets.com/books/1470082995s/29056083.jpg
837,The Subtle Knife ,Philip Pullman,fantasy,1997,4.12,305891,https://images.gr-assets.com/books/1535965085s/41637836.jpg
838,The Lies of Locke Lamora ,Scott Lynch,fantasy,2006,4.3,172268,https://images.gr-assets.com/books/1458646334s/29588376.jpg
839,Assassin's Apprentice ,Robin Hobb,fantasy,1995,4.15,194276,https://images.gr-assets.com/books/1464570795s/77197.jpg
840,The Sea of Monsters ,Rick Riordan,fantasy,2006,4.24,627122,https://images.gr-assets.com/books/1400602661s/28186.jpg
841,Eldest ,Christopher Paolini,fantasy,2005,3.97,303698,https://images.gr-assets.com/books/1387119654s/45978.jpg
842,The Silmarillion ,J.R.R. Tolkien,fantasy,1977,3.91,184079,https://images.gr-assets.com/books/1336502583s/7332.jpg
843,The Magician's Nephew ,C.S. Lewis,fantasy,1955,4.03,346320,https://images.gr-assets.com/books/1308814770s/65605.jpg
844,The Hunger Games ,Suzanne Collins,fantasy,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
845,The Well of Ascension ,Brandon Sanderson,fantasy,2007,4.36,217707,https://images.gr-assets.com/books/1480717596s/68429.jpg
846,The Way of Kings ,Brandon Sanderson,fantasy,2010,4.65,221990,https://images.gr-assets.com/books/1388184640s/7235533.jpg
847,A Court of Thorns and Roses ,Sarah J. Maas,fantasy,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
848,A Darker Shade of Magic ,V.E. Schwab,fantasy,2015,4.09,130895,https://images.gr-assets.com/books/1400322851s/22055262.jpg
849,A Wizard of Earthsea ,Ursula K. Le Guin,fantasy,1968,4.0,195334,https://images.gr-assets.com/books/1353424536s/13642.jpg
850,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fantasy,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
851,The Hobbit or There and Back Again ,J.R.R. Tolkien,fantasy,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
852,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fantasy,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
853,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fantasy,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
854,Harry Potter and the Goblet of Fire ,J.K. Rowling,fantasy,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
855,Harry Potter and the Deathly Hallows ,J.K. Rowling,fantasy,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
856,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fantasy,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
857,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fantasy,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
858,A Game of Thrones ,George R.R. Martin,fantasy,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
859,The Fellowship of the Ring ,J.R.R. Tolkien,fantasy,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
860,A Clash of Kings  ,George R.R. Martin,fantasy,1998,4.41,687212,https://images.gr-assets.com/books/1358254974s/10572.jpg
861,The Two Towers ,J.R.R. Tolkien,fantasy,1954,4.43,602757,https://images.gr-assets.com/books/1298415523s/15241.jpg
862,The Name of the Wind ,Patrick Rothfuss,fantasy,2007,4.55,573418,https://images.gr-assets.com/books/1515589515s/186074.jpg
863,The Return of the King ,J.R.R. Tolkien,fantasy,1955,4.52,576459,https://images.gr-assets.com/books/1520258755s/18512.jpg
864,A Storm of Swords ,George R.R. Martin,fantasy,2000,4.54,588700,https://images.gr-assets.com/books/1497931121s/62291.jpg
865,A Feast for Crows ,George R.R. Martin,fantasy,2005,4.12,544456,https://images.gr-assets.com/books/1429538615s/13497.jpg
866,"The Lion, the Witch and the Wardrobe ",C.S. Lewis,fantasy,1950,4.21,1846497,https://images.gr-assets.com/books/1353029077s/100915.jpg
867,Eragon ,Christopher Paolini,fantasy,2002,3.88,1266203,https://images.gr-assets.com/books/1366212852s/113436.jpg
868,The Golden Compass ,Philip Pullman,fantasy,1995,3.96,1115417,https://images.gr-assets.com/books/1505766203s/119322.jpg
869,A Dance with Dragons ,George R.R. Martin,fantasy,2011,4.32,484386,https://images.gr-assets.com/books/1327885335s/10664113.jpg
870,American Gods ,Neil Gaiman,fantasy,2001,4.11,640347,https://images.gr-assets.com/books/1462924585s/30165203.jpg
871,The Lightning Thief ,Rick Riordan,fantasy,2005,4.24,1663927,https://images.gr-assets.com/books/1400602609s/28187.jpg
872,The Final Empire ,Brandon Sanderson,fantasy,2006,4.44,302938,https://images.gr-assets.com/books/1480717416s/68428.jpg
873,Twilight ,Stephenie Meyer,fantasy,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
874,City of Bones ,Cassandra Clare,fantasy,2007,4.11,1411260,https://images.gr-assets.com/books/1432730315s/256683.jpg
875,The Lord of the Rings ,J.R.R. Tolkien,fantasy,1955,4.49,490460,https://images.gr-assets.com/books/1547450792s/33.jpg
876,Neverwhere ,Neil Gaiman,fantasy,1996,4.18,362656,https://images.gr-assets.com/books/1348747943s/14497.jpg
877,The Eye of the World ,Robert Jordan,fantasy,1990,4.19,320497,https://images.gr-assets.com/books/1337818095s/228665.jpg
878,The Wise Man's Fear ,Patrick Rothfuss,fantasy,2011,4.58,347228,https://images.gr-assets.com/books/1452624392s/1215032.jpg
879,Throne of Glass ,Sarah J. Maas,fantasy,2012,4.22,450961,https://images.gr-assets.com/books/1495278054s/7896527.jpg
880,The Night Circus ,Erin Morgenstern,fantasy,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
881,Graceling ,Kristin Cashore,fantasy,2008,4.09,338822,https://images.gr-assets.com/books/1331548394s/3236307.jpg
882,The Ocean at the End of the Lane ,Neil Gaiman,fantasy,2013,3.99,403969,https://images.gr-assets.com/books/1497098563s/15783514.jpg
883,The Princess Bride ,William Goldman,fantasy,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
884,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch ",Terry Pratchett,fantasy,1990,4.25,394505,https://images.gr-assets.com/books/1392528568s/12067.jpg
885,The Color of Magic ,Terry Pratchett,fantasy,1983,3.99,266996,https://images.gr-assets.com/books/1407111017s/34497.jpg
886,Harry Potter and the Cursed Child: Parts One and Two ,John Tiffany,fantasy,2016,3.68,540452,https://images.gr-assets.com/books/1470082995s/29056083.jpg
887,The Subtle Knife ,Philip Pullman,fantasy,1997,4.12,305891,https://images.gr-assets.com/books/1535965085s/41637836.jpg
888,The Lies of Locke Lamora ,Scott Lynch,fantasy,2006,4.3,172268,https://images.gr-assets.com/books/1458646334s/29588376.jpg
889,Assassin's Apprentice ,Robin Hobb,fantasy,1995,4.15,194276,https://images.gr-assets.com/books/1464570795s/77197.jpg
890,The Sea of Monsters ,Rick Riordan,fantasy,2006,4.24,627122,https://images.gr-assets.com/books/1400602661s/28186.jpg
891,Eldest ,Christopher Paolini,fantasy,2005,3.97,303698,https://images.gr-assets.com/books/1387119654s/45978.jpg
892,The Silmarillion ,J.R.R. Tolkien,fantasy,1977,3.91,184079,https://images.gr-assets.com/books/1336502583s/7332.jpg
893,The Magician's Nephew ,C.S. Lewis,fantasy,1955,4.03,346320,https://images.gr-assets.com/books/1308814770s/65605.jpg
894,The Hunger Games ,Suzanne Collins,fantasy,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
895,The Well of Ascension ,Brandon Sanderson,fantasy,2007,4.36,217707,https://images.gr-assets.com/books/1480717596s/68429.jpg
896,The Way of Kings ,Brandon Sanderson,fantasy,2010,4.65,221990,https://images.gr-assets.com/books/1388184640s/7235533.jpg
897,A Court of Thorns and Roses ,Sarah J. Maas,fantasy,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
898,A Darker Shade of Magic ,V.E. Schwab,fantasy,2015,4.09,130895,https://images.gr-assets.com/books/1400322851s/22055262.jpg
899,A Wizard of Earthsea ,Ursula K. Le Guin,fantasy,1968,4.0,195334,https://images.gr-assets.com/books/1353424536s/13642.jpg
900,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fantasy,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
901,The Hobbit or There and Back Again ,J.R.R. Tolkien,fantasy,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
902,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fantasy,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
903,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fantasy,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
904,Harry Potter and the Goblet of Fire ,J.K. Rowling,fantasy,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
905,Harry Potter and the Deathly Hallows ,J.K. Rowling,fantasy,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
906,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fantasy,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
907,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fantasy,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
908,A Game of Thrones ,George R.R. Martin,fantasy,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
909,The Fellowship of the Ring ,J.R.R. Tolkien,fantasy,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
910,A Clash of Kings  ,George R.R. Martin,fantasy,1998,4.41,687212,https://images.gr-assets.com/books/1358254974s/10572.jpg
911,The Two Towers ,J.R.R. Tolkien,fantasy,1954,4.43,602757,https://images.gr-assets.com/books/1298415523s/15241.jpg
912,The Name of the Wind ,Patrick Rothfuss,fantasy,2007,4.55,573418,https://images.gr-assets.com/books/1515589515s/186074.jpg
913,The Return of the King ,J.R.R. Tolkien,fantasy,1955,4.52,576459,https://images.gr-assets.com/books/1520258755s/18512.jpg
914,A Storm of Swords ,George R.R. Martin,fantasy,2000,4.54,588700,https://images.gr-assets.com/books/1497931121s/62291.jpg
915,A Feast for Crows ,George R.R. Martin,fantasy,2005,4.12,544456,https://images.gr-assets.com/books/1429538615s/13497.jpg
916,"The Lion, the Witch and the Wardrobe ",C.S. Lewis,fantasy,1950,4.21,1846497,https://images.gr-assets.com/books/1353029077s/100915.jpg
917,Eragon ,Christopher Paolini,fantasy,2002,3.88,1266203,https://images.gr-assets.com/books/1366212852s/113436.jpg
918,The Golden Compass ,Philip Pullman,fantasy,1995,3.96,1115417,https://images.gr-assets.com/books/1505766203s/119322.jpg
919,A Dance with Dragons ,George R.R. Martin,fantasy,2011,4.32,484386,https://images.gr-assets.com/books/1327885335s/10664113.jpg
920,American Gods ,Neil Gaiman,fantasy,2001,4.11,640347,https://images.gr-assets.com/books/1462924585s/30165203.jpg
921,The Lightning Thief ,Rick Riordan,fantasy,2005,4.24,1663927,https://images.gr-assets.com/books/1400602609s/28187.jpg
922,The Final Empire ,Brandon Sanderson,fantasy,2006,4.44,302938,https://images.gr-assets.com/books/1480717416s/68428.jpg
923,Twilight ,Stephenie Meyer,fantasy,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
924,City of Bones ,Cassandra Clare,fantasy,2007,4.11,1411260,https://images.gr-assets.com/books/1432730315s/256683.jpg
925,The Lord of the Rings ,J.R.R. Tolkien,fantasy,1955,4.49,490460,https://images.gr-assets.com/books/1547450792s/33.jpg
926,Neverwhere ,Neil Gaiman,fantasy,1996,4.18,362656,https://images.gr-assets.com/books/1348747943s/14497.jpg
927,The Eye of the World ,Robert Jordan,fantasy,1990,4.19,320497,https://images.gr-assets.com/books/1337818095s/228665.jpg
928,The Wise Man's Fear ,Patrick Rothfuss,fantasy,2011,4.58,347228,https://images.gr-assets.com/books/1452624392s/1215032.jpg
929,Throne of Glass ,Sarah J. Maas,fantasy,2012,4.22,450961,https://images.gr-assets.com/books/1495278054s/7896527.jpg
930,The Night Circus ,Erin Morgenstern,fantasy,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
931,Graceling ,Kristin Cashore,fantasy,2008,4.09,338822,https://images.gr-assets.com/books/1331548394s/3236307.jpg
932,The Ocean at the End of the Lane ,Neil Gaiman,fantasy,2013,3.99,403969,https://images.gr-assets.com/books/1497098563s/15783514.jpg
933,The Princess Bride ,William Goldman,fantasy,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
934,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch ",Terry Pratchett,fantasy,1990,4.25,394505,https://images.gr-assets.com/books/1392528568s/12067.jpg
935,The Color of Magic ,Terry Pratchett,fantasy,1983,3.99,266996,https://images.gr-assets.com/books/1407111017s/34497.jpg
936,Harry Potter and the Cursed Child: Parts One and Two ,John Tiffany,fantasy,2016,3.68,540452,https://images.gr-assets.com/books/1470082995s/29056083.jpg
937,The Subtle Knife ,Philip Pullman,fantasy,1997,4.12,305891,https://images.gr-assets.com/books/1535965085s/41637836.jpg
938,The Lies of Locke Lamora ,Scott Lynch,fantasy,2006,4.3,172268,https://images.gr-assets.com/books/1458646334s/29588376.jpg
939,Assassin's Apprentice ,Robin Hobb,fantasy,1995,4.15,194276,https://images.gr-assets.com/books/1464570795s/77197.jpg
940,The Sea of Monsters ,Rick Riordan,fantasy,2006,4.24,627122,https://images.gr-assets.com/books/1400602661s/28186.jpg
941,Eldest ,Christopher Paolini,fantasy,2005,3.97,303698,https://images.gr-assets.com/books/1387119654s/45978.jpg
942,The Silmarillion ,J.R.R. Tolkien,fantasy,1977,3.91,184079,https://images.gr-assets.com/books/1336502583s/7332.jpg
943,The Magician's Nephew ,C.S. Lewis,fantasy,1955,4.03,346320,https://images.gr-assets.com/books/1308814770s/65605.jpg
944,The Hunger Games ,Suzanne Collins,fantasy,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
945,The Well of Ascension ,Brandon Sanderson,fantasy,2007,4.36,217707,https://images.gr-assets.com/books/1480717596s/68429.jpg
946,The Way of Kings ,Brandon Sanderson,fantasy,2010,4.65,221990,https://images.gr-assets.com/books/1388184640s/7235533.jpg
947,A Court of Thorns and Roses ,Sarah J. Maas,fantasy,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
948,A Darker Shade of Magic ,V.E. Schwab,fantasy,2015,4.09,130895,https://images.gr-assets.com/books/1400322851s/22055262.jpg
949,A Wizard of Earthsea ,Ursula K. Le Guin,fantasy,1968,4.0,195334,https://images.gr-assets.com/books/1353424536s/13642.jpg
950,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fantasy,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
951,The Hobbit or There and Back Again ,J.R.R. Tolkien,fantasy,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
952,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fantasy,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
953,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fantasy,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
954,Harry Potter and the Goblet of Fire ,J.K. Rowling,fantasy,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
955,Harry Potter and the Deathly Hallows ,J.K. Rowling,fantasy,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
956,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fantasy,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
957,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fantasy,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
958,A Game of Thrones ,George R.R. Martin,fantasy,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
959,The Fellowship of the Ring ,J.R.R. Tolkien,fantasy,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
960,A Clash of Kings  ,George R.R. Martin,fantasy,1998,4.41,687212,https://images.gr-assets.com/books/1358254974s/10572.jpg
961,The Two Towers ,J.R.R. Tolkien,fantasy,1954,4.43,602757,https://images.gr-assets.com/books/1298415523s/15241.jpg
962,The Name of the Wind ,Patrick Rothfuss,fantasy,2007,4.55,573418,https://images.gr-assets.com/books/1515589515s/186074.jpg
963,The Return of the King ,J.R.R. Tolkien,fantasy,1955,4.52,576459,https://images.gr-assets.com/books/1520258755s/18512.jpg
964,A Storm of Swords ,George R.R. Martin,fantasy,2000,4.54,588700,https://images.gr-assets.com/books/1497931121s/62291.jpg
965,A Feast for Crows ,George R.R. Martin,fantasy,2005,4.12,544456,https://images.gr-assets.com/books/1429538615s/13497.jpg
966,"The Lion, the Witch and the Wardrobe ",C.S. Lewis,fantasy,1950,4.21,1846497,https://images.gr-assets.com/books/1353029077s/100915.jpg
967,Eragon ,Christopher Paolini,fantasy,2002,3.88,1266203,https://images.gr-assets.com/books/1366212852s/113436.jpg
968,The Golden Compass ,Philip Pullman,fantasy,1995,3.96,1115417,https://images.gr-assets.com/books/1505766203s/119322.jpg
969,A Dance with Dragons ,George R.R. Martin,fantasy,2011,4.32,484386,https://images.gr-assets.com/books/1327885335s/10664113.jpg
970,American Gods ,Neil Gaiman,fantasy,2001,4.11,640347,https://images.gr-assets.com/books/1462924585s/30165203.jpg
971,The Lightning Thief ,Rick Riordan,fantasy,2005,4.24,1663927,https://images.gr-assets.com/books/1400602609s/28187.jpg
972,The Final Empire ,Brandon Sanderson,fantasy,2006,4.44,302938,https://images.gr-assets.com/books/1480717416s/68428.jpg
973,Twilight ,Stephenie Meyer,fantasy,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
974,City of Bones ,Cassandra Clare,fantasy,2007,4.11,1411272,https://images.gr-assets.com/books/1432730315s/256683.jpg
975,The Lord of the Rings ,J.R.R. Tolkien,fantasy,1955,4.49,490460,https://images.gr-assets.com/books/1547450792s/33.jpg
976,Neverwhere ,Neil Gaiman,fantasy,1996,4.18,362656,https://images.gr-assets.com/books/1348747943s/14497.jpg
977,The Eye of the World ,Robert Jordan,fantasy,1990,4.19,320497,https://images.gr-assets.com/books/1337818095s/228665.jpg
978,The Wise Man's Fear ,Patrick Rothfuss,fantasy,2011,4.58,347228,https://images.gr-assets.com/books/1452624392s/1215032.jpg
979,Throne of Glass ,Sarah J. Maas,fantasy,2012,4.22,450961,https://images.gr-assets.com/books/1495278054s/7896527.jpg
980,The Night Circus ,Erin Morgenstern,fantasy,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
981,Graceling ,Kristin Cashore,fantasy,2008,4.09,338822,https://images.gr-assets.com/books/1331548394s/3236307.jpg
982,The Ocean at the End of the Lane ,Neil Gaiman,fantasy,2013,3.99,403969,https://images.gr-assets.com/books/1497098563s/15783514.jpg
983,The Princess Bride ,William Goldman,fantasy,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
984,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch ",Terry Pratchett,fantasy,1990,4.25,394505,https://images.gr-assets.com/books/1392528568s/12067.jpg
985,The Color of Magic ,Terry Pratchett,fantasy,1983,3.99,266996,https://images.gr-assets.com/books/1407111017s/34497.jpg
986,Harry Potter and the Cursed Child: Parts One and Two ,John Tiffany,fantasy,2016,3.68,540452,https://images.gr-assets.com/books/1470082995s/29056083.jpg
987,The Subtle Knife ,Philip Pullman,fantasy,1997,4.12,305891,https://images.gr-assets.com/books/1535965085s/41637836.jpg
